county,state,fips,cases,deaths
Snohomish,Washington,53061,1,0
Snohomish,Washington,53061,1,0
Snohomish,Washington,53061,1,0
Cook,Illinois,17031,1,0
Snohomish,Washington,53061,1,0
Orange,California,6059,1,0
Cook,Illinois,17031,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Cook,Illinois,17031,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Cook,Illinois,17031,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Cook,Illinois,17031,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Cook,Illinois,17031,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Cook,Illinois,17031,2,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Santa Clara,California,6085,1,0
Cook,Illinois,17031,2,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Santa Clara,California,6085,1,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Bexar,Texas,48029,1,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,10,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,10,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,10,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,11,0
Bexar,Texas,48029,2,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Sacramento,California,6067,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,11,0
Bexar,Texas,48029,4,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Sacramento,California,6067,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,11,0
Bexar,Texas,48029,4,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Sacramento,California,6067,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,2,0
Santa Clara,California,6085,2,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,11,0
Bexar,Texas,48029,4,0
Snohomish,Washington,53061,1,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Sacramento,California,6067,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,3,0
Santa Clara,California,6085,2,0
Solano,California,6095,1,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,12,0
Bexar,Texas,48029,10,0
Snohomish,Washington,53061,1,0
Spokane,Washington,53063,4,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Orange,California,6059,1,0
Sacramento,California,6067,1,0
San Diego,California,6073,1,0
San Francisco,California,6075,3,0
Santa Clara,California,6085,2,0
Solano,California,6095,1,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,13,0
Bexar,Texas,48029,10,0
Salt Lake,Utah,49035,1,0
Snohomish,Washington,53061,1,0
Spokane,Washington,53063,4,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Marin,California,6041,1,0
Napa,California,6055,1,0
Orange,California,6059,1,0
Sacramento,California,6067,3,0
San Diego,California,6073,1,0
San Francisco,California,6075,3,0
Santa Clara,California,6085,2,0
Solano,California,6095,11,0
Sonoma,California,6097,1,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,13,0
Bexar,Texas,48029,10,0
Salt Lake,Utah,49035,1,0
Snohomish,Washington,53061,1,0
Spokane,Washington,53063,4,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Marin,California,6041,1,0
Napa,California,6055,1,0
Orange,California,6059,1,0
Sacramento,California,6067,3,0
San Diego,California,6073,1,0
San Francisco,California,6075,3,0
Santa Clara,California,6085,2,0
Solano,California,6095,11,0
Sonoma,California,6097,1,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,13,0
Bexar,Texas,48029,10,0
Salt Lake,Utah,49035,1,0
Snohomish,Washington,53061,1,0
Spokane,Washington,53063,4,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Marin,California,6041,1,0
Napa,California,6055,1,0
Orange,California,6059,1,0
Sacramento,California,6067,3,0
San Diego,California,6073,1,0
San Francisco,California,6075,3,0
Santa Clara,California,6085,3,0
Solano,California,6095,11,0
Sonoma,California,6097,1,0
Cook,Illinois,17031,2,0
Suffolk,Massachusetts,25025,1,0
Douglas,Nebraska,31055,13,0
Washington,Oregon,41067,1,0
Bexar,Texas,48029,11,0
Salt Lake,Utah,49035,1,0
King,Washington,53033,1,0
Snohomish,Washington,53061,2,0
Spokane,Washington,53063,4,0
Dane,Wisconsin,55025,1,0
Maricopa,Arizona,4013,1,0
Humboldt,California,6023,1,0
Los Angeles,California,6037,1,0
Marin,California,6041,1,0
Napa,California,6055,1,0
Orange,California,6059,1,0
Sacramento,California,6067,3,0
San Diego,California,6073,1,0
San Francisco,California,6075,3,0
Santa Clara,California,6085,4,0
